prediction,target
0.30422547,-0.48152527
-0.22261778,-0.7242019
-0.20321147,-0.9929934
-0.19687404,0.1334467
-0.4448751,-0.68694055
0.32434723,0.18567632
-0.013725565,0.83313257
-0.09000491,-0.6413989
-0.04580981,0.434404
-0.17697339,-0.6611442
-0.17681755,-0.93184656
-0.21798727,-0.16719212
0.29557234,2.1012933
-0.21571872,-0.6372587
0.011764723,-1.0439491
0.33900174,1.2799506
-0.49202988,-0.75732315
-0.4670513,-0.9608276
0.30697748,-0.87229204
-0.48580167,0.0127453115
-0.03740255,0.32835236
-0.08760661,-0.15222387
0.30052143,0.23121801
-0.20610888,-0.9194261
-0.054827068,-0.4706972
0.13047546,0.9742163
0.13853072,0.7780367
0.31604984,-0.663692
-0.23091052,-1.0439491
0.13997361,2.9318717
0.36367106,1.9665791
0.27625012,-0.5907616
-0.075475715,2.0939684
-0.2515429,-0.6812081
0.28111655,-0.77738696
-0.07417106,1.5592518
-0.28269768,-0.81146365
-0.25960827,-0.973885
0.19902198,1.216256
0.094979964,-1.014968
-0.583325,0.49682474
-0.5656242,-0.23693776
-0.27076888,-0.8474511
0.29485726,0.2659316
-0.13445961,-0.5694239
0.29830134,0.31943512
-0.21530515,-0.49967825
-0.5587476,-0.063051336
0.32020974,-1.0439491
0.27095515,-0.089484625
-0.57949674,-0.94522244
0.27856907,1.3105241
-0.06830337,1.4758117
-0.03529621,-1.0439491
-0.5704506,-0.9420377
0.22455694,2.5965192
0.33711728,0.7038324
0.30079162,-0.3273842
0.3103261,0.2968235
-0.5733418,-0.9159229
-0.2778631,-1.0426753
-0.08192343,-0.91974455
0.30902636,-0.83375674
-0.23185039,0.9630697
