prediction,target
0.1622444,-1.0886973
0.34327137,0.89447427
-0.6094996,-0.6008754
-0.5304229,-0.51478916
-0.6154047,0.52844834
0.19155683,2.0336819
-0.20185806,-1.0832771
0.22759064,0.06868416
-0.35198802,-0.14589372
0.19522792,1.0972551
-0.6070013,-1.0271616
-0.41855258,-1.0010169
-0.26724344,-0.29224032
-0.64429265,-0.9799736
0.61434865,1.3153403
0.18691017,2.0802324
0.60464525,0.7248525
0.24620745,0.1362778
0.4055885,0.6036941
0.908557,-0.19244406
-0.5308616,-1.0450165
-0.52119577,-1.0886973
0.5466818,0.06932183
-0.61060196,-1.0886973
0.21165322,0.05497413
-0.6318676,0.5434337
0.18971556,-1.0606396
0.68990535,1.6695691
-0.18292905,-0.46696347
0.20004933,0.3132328
0.09027305,2.122319
-0.1814065,-0.07064799
0.1571185,-1.0886973
0.1986357,-0.3308197
-0.45354623,-0.88304687
0.21029583,-0.63499105
0.2627669,0.014162882
-0.43424368,0.3358703
0.912845,-0.456123
-0.51798683,-1.0886973
0.6385199,-0.73542494
-0.22990696,-0.7054542
-0.5860669,-0.98635036
-0.5872021,-0.69206303
0.43586993,-0.3923554
0.59543955,-0.4522969
-0.5358091,-0.9146118
0.2789405,-0.13314022
0.61262065,-0.6678313
0.66631186,-0.38693517
0.2206803,1.7849884
0.2644711,0.18792953
0.22210337,0.28900114
-0.49423212,-0.7720913
-0.61190945,-1.0274805
-0.5325292,-1.0886973
-0.06964083,-0.6305273
-0.37713057,-1.0376832
-0.29092884,-0.98061126
-0.27903277,-1.0580889
-0.4040799,-0.71916425
-0.2419131,-0.24441463
0.566342,-0.91780025
0.26801926,-0.035575826
0.8641309,1.4938895
0.41228518,1.5984683
0.5865397,1.0092559
-0.37029254,-0.042909097
0.5771563,-0.13696627
-0.3874117,-1.0810453
0.15678704,-1.0886973
0.33837366,-0.9739157
0.22188193,0.13946617
0.10104826,-0.9866692
0.20471285,-0.644875
0.03141375,-0.4216885
0.26722404,-0.9755099
0.1291272,-0.8215112
0.6218866,0.29250833
0.12472448,0.39708716
-0.15277593,0.3913481
0.10350843,-0.96913314
0.63272905,-0.46154323
0.09881063,0.5338686
0.5220249,0.42642024
-0.37887067,0.05816251
