prediction,target
-0.19612665,-1.0439491
-0.48604378,-0.9159229
-0.49203244,0.1334467
-0.44548696,-1.0439491
-0.3436971,2.9318717
-0.20961083,-0.83375674
-0.19232084,0.2659316
-0.22538793,-0.87229204
-0.47497794,-0.68694055
-0.22946483,-0.663692
-0.24749269,1.3105241
-0.2166597,1.2799506
-0.46966863,-0.23693776
-0.15184733,0.7038324
-0.4826856,-0.5694239
-0.45709226,-1.0439491
-0.5018142,-0.94522244
-0.4316756,-0.49967825
-0.4482164,-0.9194261
-0.22418872,-0.77738696
-0.4672814,-0.9608276
-0.4931307,-0.973885
-0.49378005,-0.75732315
-0.5033123,-0.81146365
-0.46369755,-0.93184656
-0.36450645,-1.014968
-0.48333892,-0.16719212
-0.48794308,-0.7242019
-0.33794805,0.7780367
-0.38580778,0.9742163
-0.3843266,-0.91974455
-0.19710714,2.1012933
-0.36149365,-0.089484625
-0.35038042,0.18567632
-0.39892024,0.23121801
-0.3787152,-0.48152527
-0.5631916,2.0939684
-0.65692717,-0.6812081
-0.64380366,1.4758117
-0.67122847,0.0127453115
-0.64207643,-1.0426753
-0.40267727,1.216256
-0.5164841,-0.4706972
-0.64712393,-0.9929934
-0.3263809,0.31943512
-0.668136,-0.15222387
-0.5641647,0.32835236
-0.6556233,-0.063051336
-0.6485375,-0.6413989
-0.70577466,0.49682474
-0.5712206,0.434404
-0.6608295,-0.8474511
-0.38188353,-0.5907616
-0.36082122,2.5965192
-0.58980685,-1.0439491
-0.6488537,-0.6611442
-0.33141547,-0.3273842
-0.6541849,1.5592518
-0.650504,-0.9420377
-0.60863256,-0.6372587
-0.6036898,0.83313257
-0.31787187,1.9665791
-0.32763487,0.2968235
-0.6424948,0.9630697
