prediction,target
0.29178143,2.0601456
-0.40265268,-0.9075974
-0.18322726,-0.32284874
-0.30807942,0.5463033
-0.21159314,-0.1229374
0.33649564,1.5461788
0.61921585,0.42642024
-0.35337853,-0.7803811
0.29700965,-1.0886973
-0.21073537,-0.16916889
0.31971353,-0.5724988
0.6702541,1.4046148
0.08625664,1.5981494
0.46202737,-0.64041126
-0.3176195,-0.9299161
-0.32277077,-1.0115385
-0.3548137,-0.61522305
0.019677453,-0.15099514
-0.24601214,-1.0886973
-0.32511395,-0.99974155
-0.36352628,-1.0886973
-0.033669263,-1.0886973
-0.36930048,-1.0886973
-0.20199127,-1.0580889
0.31351787,2.0792758
-0.084943704,-0.9152495
-0.48891062,-0.8282068
0.6086745,0.097379565
-0.10612543,-0.14589372
0.42434287,1.5254544
0.40889698,1.6045262
-0.22160177,-0.99719083
0.27054432,-0.7902651
-0.26546338,-0.19371942
0.87171936,0.47775316
0.6767475,1.9654506
-0.23841277,-1.0437412
0.44833183,2.3394475
-0.4192443,-0.84701824
0.3080191,1.408441
-0.27517503,-1.0886973
0.42721963,-0.7198019
0.3027832,1.4237452
-0.0046447366,-0.7889897
-0.21143752,1.9641753
0.4327455,0.24117544
-0.16516763,-0.98061126
0.25374702,0.40601462
-0.19828096,-1.0010169
0.26029187,-1.0526687
-0.225618,-0.85594565
0.2654507,0.232248
-0.13452142,-0.7921781
-0.49822968,-0.7446713
0.32816538,-1.0886973
-0.2680797,-0.9579738
-0.41879776,0.5182456
0.4248922,2.6582854
0.6522426,1.0092559
0.57597053,-0.35377604
-0.26665702,0.25042173
0.5072644,-0.7736855
-0.13387084,-0.37768885
0.31655475,1.2340366
0.2643739,2.519272
-0.062423173,-1.0226979
-0.5751132,-0.7300047
-0.55434924,-0.49725306
0.31150782,0.12766917
0.31475312,1.0851393
0.413632,-0.52562964
0.26627514,1.4109915
0.4346036,0.27082738
0.24970706,-1.0886973
0.4144152,-0.5540062
0.81970966,2.637242
0.6598837,1.6979457
0.8904135,0.6770268
-0.015436582,0.28517509
0.86641157,-0.456123
-0.47962555,-1.0886973
-0.21512018,-0.031112095
-0.29911494,-1.0150458
0.24955122,-1.0886973
-0.5568517,-0.5135138
-0.20975709,-0.20487873
-0.44109225,-0.91397417
-0.4850016,-0.39713797
-0.14053608,-1.0886973
0.6577249,-1.0631903
0.90614474,0.9317783
-0.1978342,0.92061895
0.27146655,0.09195932
0.45040032,-1.060002
0.61802435,0.7248525
0.6800638,0.12256776
-0.31456456,1.8452488
-0.67758787,-0.4637751
-0.6980612,-1.0434223
0.64763224,0.6910557
-0.50810784,0.9502709
-0.6419731,-1.0886973
-0.06806061,-0.65603435
0.4964433,1.0274297
0.5404166,-0.24345812
0.25209406,0.81348944
0.31730244,1.2512538
-0.6122563,-1.0886973
-0.42968327,-0.18638614
-0.2758662,-0.99208945
-0.5000538,0.5510859
-0.6073005,-0.8779455
-0.4329505,-0.61586076
-0.5877707,-0.31296477
-0.61924535,-0.49374586
0.26064306,-0.6604981
-0.41510156,-1.0886973
-0.29012433,0.30589953
0.2887536,1.4913387
0.20643094,1.4109915
-0.5481987,-0.23867555
0.41214246,-0.7803811
0.6307663,0.5756364
-0.37713483,0.3358703
0.60594606,-0.67229503
0.26179475,-0.19595128
-0.38045278,-1.0006981
0.2135151,-0.89803225
-0.6667273,-1.0271616
0.23729616,-0.21157433
0.6194546,0.29250833
-0.65057945,-0.8881483
0.5742642,0.6052883
0.21667135,0.8702426
0.620275,1.6695691
0.70867413,0.73537415
-0.6005326,-0.8361777
-0.33159363,-0.07064799
-0.62739694,1.7884957
0.16613898,-1.0702047
0.7152894,1.9469581
-0.14469814,0.34639195
0.2446881,-0.19595128
-0.6228634,-0.3544137
-0.5850388,-0.86582965
0.20956981,-0.5460353
0.34527898,-0.9755099
0.16869706,0.3132328
0.16688758,-0.35377604
0.5983124,1.1858921
0.17476419,-0.18032822
-0.44651157,-0.670382
0.5616299,-0.017402068
0.37662446,0.17868322
0.4074527,0.51920205
0.7052991,1.2209642
0.1603708,-0.38852936
0.576382,-0.13600975
-0.5005744,-0.9605245
0.2461389,-0.13314022
0.34227505,-0.37258747
-0.7412807,-1.0886973
0.6469526,-0.6129912
0.5820928,0.84824276
-0.75082624,0.12766917
0.15130214,1.9252771
-0.74646086,-0.7312801
0.2792364,-0.9739157
0.53852487,1.284413
-0.46488476,-0.90058297
0.12714715,0.97227067
-0.20333621,0.24468267
-0.727751,-0.8859164
-0.5090982,-0.9624375
-0.48805743,-1.03035
-0.5667868,-0.54922366
-0.42821914,-1.002611
0.19008693,1.4403247
0.13222194,1.5662657
0.6569737,2.4016209
0.1696935,0.07251021
0.582802,0.8951119
0.19442038,0.32120377
0.5284361,0.56352055
0.5334985,-0.7054542
0.73396456,1.3567891
-0.7117237,-0.235806
-0.24202493,0.7736347
-0.6272223,0.9199813
0.7034066,2.8916748
0.20842455,-1.0083501
0.17525531,-0.7306424
0.12131931,0.076336265
-0.3333974,0.1448864
-0.36556554,-0.7064107
-0.25187194,-0.11464762
0.61854297,-1.0797698
-0.63665587,1.1999209
0.1353063,-0.8208735
0.17595838,0.42897096
0.1850873,-0.98826337
-0.64778954,-1.032263
-0.42690474,0.6926499
-0.7532116,-1.0886973
-0.67489654,0.50230366
0.58095425,-0.20232803
-0.58820957,-0.94585794
0.56888133,-0.73542494
0.34657156,0.9623867
0.5029261,0.3626527
-0.6908533,-0.9509594
-0.25585747,-0.25653046
-0.39268857,1.0347629
-0.48408496,0.38337713
0.11339495,2.0802324
-0.77426744,0.28868228
0.2552818,0.46085474
0.5819729,2.128058
0.5266073,-0.13441557
-0.656225,-0.3949061
0.7052089,-0.6885558
0.21556664,-1.0886973
-0.4533006,-0.57186115
-0.7759699,-0.8495689
0.17546454,-0.87698895
0.35136667,-0.6668748
-0.7524328,0.52844834
-0.5068013,-1.087422
0.53320426,-0.6678313
0.20715284,0.13946617
-0.1655046,2.482287
-0.658437,-0.98635036
0.52090764,0.73377997
-0.44973862,-1.0389587
0.1911726,0.3636092
-0.59029305,-0.5571946
0.26295984,-0.15609655
-0.7177004,-0.8597717
0.37475252,1.4865562
-0.36483818,0.15508923
0.1819875,-0.7979172
0.18494076,-0.4637751
0.31690422,0.25042173
0.39805236,1.437774
0.53177005,0.36010197
-0.7648381,-1.0453354
-0.78072524,-0.49055746
-0.50492674,-1.0753062
0.11807313,-0.7080049
-0.73486817,-1.0871031
0.5603342,-0.7711348
-0.41004476,1.667975
0.33418608,0.5740422
0.19391587,-0.28905195
-0.27485558,-0.68441087
0.511943,1.5002662
0.1450253,-0.7593378
-0.7206392,-0.8323517
0.4898253,0.81189525
-0.38673344,-0.8843222
0.2916871,0.89447427
-0.584503,-0.5817451
-0.36543006,0.3712613
-0.1789764,0.9371985
-0.44914943,-0.14525606
-0.73586124,-0.996872
-0.46459,-0.9471333
0.14553185,0.1362778
0.35485032,-0.3923554
0.3640542,-0.19595128
-0.5938114,-1.0293934
0.12270613,-0.29829824
0.35538304,-0.19595128
-0.40761712,-0.7054542
-0.39780313,-0.39171773
0.53898394,0.38433364
0.30498037,-0.041633744
-0.22875005,-0.8113084
-0.4305464,-0.7140628
0.523087,1.923364
0.6622966,-1.0545816
0.21872789,-0.5798321
0.50526595,0.92635804
-0.5855127,-0.3786454
-0.49154335,0.5526801
0.18403563,0.6422735
-0.70664185,-1.065741
0.16281433,2.6799664
-0.32229137,-1.0810453
0.16146404,-0.57728136
0.14780177,0.05497413
-0.52590084,-1.0886973
0.16706659,-0.85467035
0.18708055,-0.92481464
0.52652276,1.6354535
0.34960955,1.699221
0.18720795,0.12224892
-0.5354895,-1.0886973
-0.7587585,-1.0886973
-0.6216276,0.06103205
0.53590703,-0.38693517
0.5787789,0.58201313
0.20541678,0.22268285
0.2869747,1.0637772
-0.7379241,-1.0198283
0.34241882,1.1511388
-0.45802394,-0.25653046
-0.57183176,-0.95606077
0.14542247,-0.10731435
0.1545997,-0.58365816
0.17312782,-0.28458822
0.5968083,-0.44209412
-0.58831847,-0.8862353
0.16565286,-0.06777845
0.57414097,-0.6238317
0.5408051,0.77331585
0.19763719,-0.52562964
-0.37346515,-0.46696347
-0.52028924,0.02787291
-0.3343052,-0.9372493
-0.24703702,-0.4041524
-0.25554717,0.3913481
-0.3262347,-0.7099179
-0.592711,-1.0886973
-0.46430057,-0.23963207
0.45683536,0.23129147
0.09419078,2.5559385
-0.8234361,-0.51478916
0.4827801,-0.2542986
-0.46063435,1.563715
-0.603285,-1.0886973
-0.64462906,-1.0150458
0.124389805,3.2704542
0.07576241,2.0336819
0.49583268,-0.29510987
0.43205255,-1.0121763
-0.7557278,-1.0886973
0.11952149,0.2121612
-0.4108622,-1.0832771
0.44842032,0.5966797
-0.68255085,0.54789746
-0.70649326,-1.0424658
0.5712831,1.5375702
-0.6260368,-0.75646824
0.22511387,-0.0454598
-0.8075297,-0.92609
-0.6444509,-0.5823828
0.1614297,1.2684711
-0.2646616,-0.6305273
-0.63813245,-0.8017432
-0.6980198,-0.26482025
-0.4554175,-0.80812
-0.7319803,-0.6659183
-0.5088507,0.74493927
-0.4475242,-0.8097142
0.1007333,0.41940582
-0.69677126,-0.73446846
0.47968134,0.79850405
0.2750635,1.5040922
0.1524247,-0.3713121
-0.56547284,-1.0886973
0.12608871,-0.43667388
0.12033975,-0.82183003
0.11920599,0.28900114
0.18289599,0.2650883
-0.33827907,-0.06937264
0.15195718,0.27624762
-0.7410301,-1.0886973
0.690151,2.0563195
-0.81251574,-0.9146118
-0.5518012,1.0538932
0.47560543,1.2085296
0.14797044,-0.644875
0.21074246,1.5984683
0.16740361,1.6622359
-0.73666024,-1.0274805
0.0918241,-0.9547854
0.20109041,-1.0886973
0.49554414,0.75067836
0.09396047,-0.4216885
0.21374345,0.14679945
-0.19971761,1.6322651
